freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1,0002229E+004	3,4989607E-002	3,9068751E-002
7,9442559E+003	3,3404440E-002	3,1521905E-002
6,3329541E+003	3,2233268E-002	2,5229130E-002
5,0116035E+003	3,1449120E-002	1,9883454E-002
3,9812742E+003	3,0972421E-002	1,5526086E-002
3,1610112E+003	3,0775020E-002	1,1909869E-002
2,5108032E+003	3,0729299E-002	8,9724064E-003
1,9956389E+003	3,0853305E-002	6,5570590E-003
1,5855076E+003	3,1062381E-002	4,6336474E-003
1,2587914E+003	3,1369120E-002	3,0538864E-003
1,0003201E+003	3,1746116E-002	1,7626436E-003
7,9423773E+002	3,2121751E-002	7,5715524E-004
6,3100964E+002	3,2564916E-002	-5,3994616E-005
5,0144415E+002	3,3009127E-002	-7,1152067E-004
3,9808920E+002	3,3485912E-002	-1,2220592E-003
3,1631586E+002	3,3966638E-002	-1,6209458E-003
2,5104436E+002	3,4452319E-002	-1,9245987E-003
1,9955299E+002	3,4915760E-002	-2,1306637E-003
1,5842838E+002	3,5412125E-002	-2,2809177E-003
1,2584569E+002	3,5883110E-002	-2,3827627E-003
1,0003201E+002	3,6338758E-002	-2,4137446E-003
7,9415527E+001	3,6792427E-002	-2,4247374E-003
6,3082302E+001	3,7228104E-002	-2,3794938E-003
5,0144413E+001	3,7651159E-002	-2,3228002E-003
3,9808922E+001	3,8034905E-002	-2,2236591E-003
3,1629551E+001	3,8406003E-002	-2,1103204E-003
2,5104435E+001	3,8736388E-002	-1,9816589E-003
1,9955299E+001	3,9028365E-002	-1,8296418E-003
1,5857576E+001	3,9295729E-002	-1,6847474E-003
1,2600808E+001	3,9527576E-002	-1,5143587E-003
1,0003201E+001	3,9710876E-002	-1,3597145E-003
7,9395342E+000	3,9891567E-002	-1,2301017E-003
6,3105822E+000	4,0026084E-002	-1,1177665E-003
5,0144415E+000	4,0127058E-002	-1,0217599E-003
3,9778514E+000	4,0253859E-002	-9,5286698E-004
3,1603966E+000	4,0314849E-002	-9,0011471E-004
2,5136740E+000	4,0398158E-002	-8,6665276E-004
1,9970604E+000	4,0470555E-002	-8,5258624E-004
1,5846854E+000	4,0555596E-002	-8,6857390E-004
1,2596743E+000	4,0623371E-002	-9,0184342E-004
1,0000638E+000	4,0704612E-002	-9,5683010E-004
0,0000000E+000	0,0000000E+000	0,0000000E+000
9,9093097E-001	4,0708613E-002	-9,7570091E-004
7,6773763E-001	4,0821198E-002	-1,0453764E-003
5,9455860E-001	4,0959615E-002	-1,1785396E-003
4,6064273E-001	4,1102100E-002	-1,3219623E-003
3,5755146E-001	4,1276682E-002	-1,4867799E-003
2,7721593E-001	4,1484363E-002	-1,6703049E-003
2,1475889E-001	4,1710969E-002	-1,8753496E-003
1,6632958E-001	4,1964158E-002	-2,0970958E-003
1,2914935E-001	4,2253692E-002	-2,3185050E-003
9,9904113E-002	4,2565264E-002	-2,6034077E-003
9,0082549E-002	4,2681981E-002	-2,8022297E-003
7,0493415E-002	4,2938489E-002	-3,0870663E-003
5,5166788E-002	4,3267917E-002	-3,4354606E-003
4,3254748E-002	4,3652441E-002	-3,8959263E-003
3,3906657E-002	4,4018093E-002	-4,5318212E-003
2,6522968E-002	4,4380445E-002	-5,2720457E-003
2,0803820E-002	4,4840243E-002	-6,1084805E-003
1,6306685E-002	4,5475997E-002	-7,1878172E-003
1,2780307E-002	4,6238098E-002	-8,5864924E-003
1,0009173E-002	4,7107443E-002	-1,0223188E-002
